2022-12-06 02:43:13 - Task preparing to start
Dec  7 01:25:10 2022-12-06 15:46:58.239039+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:48:03.619040+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:49:08.491029+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:50:13.013180+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:51:17.699073+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:52:22.347053+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:53:27.095131+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:54:32.135040+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:55:36.608024+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:56:41.631029+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:57:46.783163+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:58:51.755036+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 16:00:01.306258+09:00 #011Waiting for the next day.
Dec  7 01:25:10 2022-12-07 09:01:41.303078+09:00 #011 [0.04850572266405351, 0.05445770666037952]
Dec  7 01:25:10 2022-12-07 09:02:46.479048+09:00 #011 [0.05574142059056264, 0.06480226624243168]
Dec  7 01:25:10 2022-12-07 09:03:51.462603+09:00 #011 [0.05797497088410475, 0.060036927471692425]
Dec  7 01:25:10 2022-12-07 09:04:56.311063+09:00 #011 [0.06319410218110288, 0.061232809243357056]
Dec  7 01:25:10 2022-12-07 09:06:01.143067+09:00 #011 [0.059987844877942176, 0.060036927471692425]
Dec  7 01:25:10 2022-12-07 09:07:06.027054+09:00 #011 [0.06520441526655107, 0.06439897177541976]
Dec  7 01:25:10 2022-12-07 09:08:11.447794+09:00 #011 [0.06483517408759132, 0.06201223445852044]
Dec  7 01:25:10 2022-12-07 09:09:16.123062+09:00 #011 [0.06620957180927523, 0.06281589050938852]
Dec  7 01:25:10 2022-12-07 09:10:20.851034+09:00 #011 [0.06538833209266592, 0.05610137301763107]
Dec  7 01:25:10 2022-12-07 09:11:25.943034+09:00 #011 [0.06557178212480563, 0.06045734050136686]
Dec  7 01:25:10 2022-12-07 09:12:31.049133+09:00 #011 [0.0633805734075803, 0.05926351247150852]
Dec  7 01:25:10 2022-12-07 09:13:35.815035+09:00 #011 [0.060178632552930544, 0.05490048417923121]
